Date,Type,Distance
03.11.19,Walk,7.09
03.11.19,Run,10.66
07.11.19,Walk,7.09
07.11.19,Run,11.80
14.11.19,Walk,7.09
14.11.19,Run,10.64
03.03.20,Walk,7.09
03.03.20,Run,8.38
08.03.20,Walk,7.09
08.03.20,Run,10.58
24.05.20,Walk,7.09
24.05.20,Run,10.55
27.05.20,Walk,7.09
27.05.20,Run,11.10
31.05.20,Walk,7.09
31.05.20,Run,11.22
17.06.20,Walk,7.09
17.06.20,Run,13.45
20.06.20,Walk,7.09
20.06.20,Run,10.47
01.07.20,Walk,7.09
01.07.20,Run,11.86
09.07.20,Walk,7.09
09.07.20,Run,10.51
16.07.20,Walk,5.17
16.07.20,Run,14.37
24.07.20,Walk,7.09
24.07.20,Run,15.03
30.09.20,Walk,6.88
30.09.20,Run,10.53
08.10.20,Walk,6.88
08.10.20,Run,10.57
11.10.20,Walk,6.88
11.10.20,Run,12.15
22.10.20,Walk,6.88
22.10.20,Run,12.11
03.11.20,Walk,6.88
03.11.20,Run,12.15
12.11.20,Walk,6.88
12.11.20,Run,12.18
15.11.20,Walk,6.88
15.11.20,Run,13.72
22.11.20,Walk,6.88
22.11.20,Run,12.13
29.11.20,Walk,6.88
29.11.20,Run,13.84
27.03.21,Walk,6.88
27.03.21,Run,10.59
01.04.21,Walk,6.88
01.04.21,Run,10.60
06.04.21,Walk,6.88
06.04.21,Run,10.60
