Date,Type,Distance
16.08.19,Walk,0.00
16.08.19,Run,5.34
22.08.19,Walk,0.00
22.08.19,Run,5.34
24.08.19,Walk,0.00
24.08.19,Run,5.34
03.09.19,Walk,7.38
03.09.19,Run,10.64
07.09.19,Walk,6.98
07.09.19,Run,16.04
11.09.19,Walk,6.74
11.09.19,Run,11
15.09.19,Walk,6.74
15.09.19,Run,21.09
22.09.19,Walk,6.74
22.09.19,Run,11.14
29.09.19,Walk,6.88
29.09.19,Run,11.19
03.10.19,Walk,6.88
03.10.19,Run,11.88
06.10.19,Walk,6.88
06.10.19,Run,12.12
17.10.19,Walk,6.88
17.10.19,Run,10.64
20.10.19,Walk,6.88
20.10.19,Run,11.11
24.10.19,Walk,6.88
24.10.19,Run,10.59
27.10.19,Walk,6.88
27.10.19,Run,12.25
02.08.20,Walk,0.00
02.08.20,Run,12.39
06.08.20,Walk,0.00
06.08.20,Run,12.39
13.08.20,Walk,0.00
13.08.20,Run,12.34
17.08.20,Walk,0.00
17.08.20,Run,12.35
23.08.20,Walk,0.00
23.08.20,Run,12.36
27.08.20,Walk,0.00
27.08.20,Run,12.52
03.09.20,Walk,0.00
03.09.20,Run,12.60
11.09.20,Walk,0.00
11.09.20,Run,12.53
04.10.20,Walk,6.88
04.10.20,Run,12.15
15.10.20,Walk,6.88
15.10.20,Run,10.37
06.11.20,Walk,6.88
06.11.20,Run,12.16
19.11.20,Walk,6.88
19.11.20,Run,12.16
26.11.20,Walk,6.88
26.11.20,Run,12.10
